nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Oliver,Gregory,62,160.0,60.7,H,oui,bac,Bretagne,non,oui,2776,célibataire,,0.06,2025-05-02,,856.71,
Mcdaniel,Roberto,49,182.9,68.0,F,non,aucun,Bretagne,oui,non,3433,célibataire,,0.85,2022-07-01,,5000.0,
Foster,Chad,49,176.4,89.9,H,non,doctorat,Hauts-de-France,non,oui,4309,marié,,0.18,2025-03-28,574.0,658.33,40000.0
Clark,Michael,30,163.3,65.8,H,oui,bac,Bretagne,non,non,1785,divorcé,,0.06,2023-02-21,408.0,,
Bradley,Paul,57,179.5,69.8,F,non,doctorat,Occitanie,non,oui,3367,,,0.07,2024-08-23,,1235.66,
Guerrero,Gloria,37,180.7,74.9,F,non,master,Normandie,non,oui,3414,célibataire,,0.76,2022-06-27,525.0,1068.85,40000.0
Webb,Johnathan,75,172.1,64.7,F,non,bac,Normandie,non,non,2954,divorcé,,0.3,2021-07-15,,432.23,
Guerra,Scott,19,172.9,42.7,H,non,aucun,Hauts-de-France,non,non,4515,divorcé,1.0,0.68,2024-07-03,,,
Barnes,Jo,65,161.7,64.8,F,oui,master,Bretagne,oui,non,3373,célibataire,,0.55,2020-07-30,,5000.0,
Simon,Melinda,36,156.5,76.2,F,non,master,Auvergne-Rhône-Alpes,non,non,792,veuf,5.0,0.32,2023-01-12,331.0,10000.0,40000.0
Roberts,Kevin,23,169.8,110.3,F,non,aucun,Corse,non,oui,2129,divorcé,,0.57,2023-01-05,837.0,,
Harper,Kathryn,27,174.9,57.2,F,non,master,Auvergne-Rhône-Alpes,non,oui,500,marié,,0.84,2024-11-29,726.0,10000.0,40000.0
Singh,Mark,65,179.1,100.3,F,oui,doctorat,Normandie,oui,non,2640,veuf,5.0,0.07,2023-04-21,338.0,702.76,40000.0
Conner,Martin,71,172.3,75.9,H,non,doctorat,Île-de-France,oui,oui,1374,divorcé,1.0,0.81,2025-05-13,610.0,,
Pugh,Nathan,73,177.0,30.7,F,non,aucun,Hauts-de-France,oui,non,3345,veuf,1.0,0.53,2020-03-27,776.0,355.95,40000.0
Gates,Joseph,23,168.7,70.3,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,2981,,,1.0,2022-11-01,,,
Dean,Madeline,43,179.3,102.2,H,non,doctorat,Hauts-de-France,oui,non,500,divorcé,,0.47,2022-05-06,,1203.9,
Martin,Melissa,38,168.0,106.2,H,non,bac+2,Corse,oui,oui,4214,célibataire,4.0,0.71,2022-09-29,492.0,,
Rodriguez,Emily,71,161.3,78.5,F,non,aucun,Bretagne,non,non,1677,divorcé,,0.34,2023-07-11,,10000.0,
Watts,Ashley,18,169.5,78.0,F,oui,bac+2,Île-de-France,non,non,2428,,,0.97,2021-01-03,836.0,10000.0,40000.0
Martin,Jeremy,18,157.5,79.9,H,non,master,Normandie,non,non,2869,divorcé,,0.48,2024-01-09,616.0,5000.0,40000.0
Franklin,Trevor,57,162.1,83.3,H,non,bac+2,Île-de-France,non,oui,500,célibataire,,0.29,2021-09-23,836.0,,
Tanner,Timothy,65,182.5,64.3,F,non,master,Auvergne-Rhône-Alpes,oui,oui,4416,célibataire,,0.67,2022-07-15,787.0,,
Ramirez,Jeffery,71,181.7,80.9,F,oui,doctorat,Corse,oui,non,618,,5.0,0.56,2024-04-27,,,
Russell,Andrew,26,170.1,62.3,F,oui,bac,Bretagne,non,oui,2160,marié,5.0,0.56,2021-04-27,,,
Collins,Connie,28,188.5,59.2,F,oui,doctorat,Bretagne,oui,non,1948,célibataire,0.0,0.13,2024-04-22,,10000.0,
Mendoza,Matthew,74,165.0,83.7,H,oui,doctorat,Occitanie,non,oui,2853,divorcé,2.0,0.65,2021-06-09,,,
Benton,John,43,176.5,82.6,F,non,master,Corse,non,non,2713,marié,,0.68,2021-08-22,485.0,,
Ellis,Stephanie,28,180.8,73.2,F,non,aucun,Normandie,non,oui,3434,divorcé,0.0,0.66,2022-01-06,,10000.0,
Walters,Seth,34,183.0,59.3,F,oui,bac+2,Île-de-France,oui,non,3833,célibataire,5.0,0.75,2022-12-13,,,
Lewis,Spencer,46,176.0,67.2,F,oui,doctorat,Île-de-France,non,oui,606,,4.0,0.41,2020-02-03,,5000.0,
Johnston,Margaret,32,158.3,60.5,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,3578,veuf,,0.92,2023-09-30,,,
Brown,Danielle,30,168.2,90.6,F,oui,bac,Île-de-France,oui,oui,2674,divorcé,,0.39,2021-11-29,,,
Craig,Tyler,70,167.1,65.8,F,oui,bac,Corse,non,oui,2980,marié,0.0,0.31,2023-04-18,,,
Jordan,Jacob,22,185.3,86.4,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,1944,marié,,0.99,2023-06-29,,10000.0,
Spencer,Nicholas,19,157.7,75.2,H,non,master,Normandie,oui,non,3825,marié,,0.03,2025-03-14,358.0,770.43,40000.0
Davis,Robert,45,173.3,61.0,F,non,doctorat,Auvergne-Rhône-Alpes,non,oui,3879,divorcé,,0.5,2023-06-12,,10000.0,
Vincent,Cynthia,40,167.8,41.1,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2398,marié,,0.97,2024-06-29,,5000.0,
Taylor,Stephen,69,161.2,48.1,H,oui,aucun,Corse,non,non,1222,,,0.66,2024-07-18,,,
Martin,Amy,37,146.1,82.9,F,non,doctorat,Occitanie,oui,oui,2212,,1.0,0.74,2023-08-09,,,
Sheppard,Jennifer,44,165.5,75.9,H,non,master,Bretagne,oui,non,3917,divorcé,,0.96,2020-07-06,,10000.0,
Hester,Kristina,57,174.3,80.4,F,non,bac,Île-de-France,non,non,2567,divorcé,5.0,0.03,2020-02-02,474.0,5000.0,40000.0
Riley,John,65,171.7,95.0,F,oui,aucun,Occitanie,non,non,2932,marié,0.0,0.56,2021-10-30,,5000.0,
Smith,Brandy,28,176.0,50.4,F,oui,bac,Normandie,oui,oui,1655,marié,,0.68,2024-08-18,555.0,,
King,Bailey,55,164.4,64.7,H,non,bac+2,Corse,oui,non,4474,,3.0,0.75,2024-03-27,813.0,5000.0,40000.0
Evans,Adam,70,174.1,87.6,H,non,doctorat,Corse,non,oui,4788,veuf,5.0,0.3,2024-09-16,750.0,,
Walker,Alyssa,55,164.0,76.3,H,non,aucun,Corse,oui,oui,2074,célibataire,,0.92,2025-02-27,473.0,10000.0,40000.0
Cain,Thomas,60,173.3,69.9,F,non,bac+2,Hauts-de-France,oui,oui,2758,marié,4.0,0.46,2024-10-05,,997.91,
Brown,John,49,165.8,80.4,H,oui,doctorat,Normandie,oui,oui,1744,divorcé,0.0,0.25,2022-04-12,,10000.0,
Serrano,Brian,58,176.9,49.6,H,non,master,Provence-Alpes-Côte d’Azur,oui,non,2851,célibataire,3.0,0.01,2023-07-28,625.0,5000.0,40000.0
Castro,Kathleen,57,155.9,60.8,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2854,divorcé,,0.69,2020-10-12,660.0,325.6,40000.0
Lee,Morgan,67,180.0,65.9,F,non,aucun,Occitanie,oui,oui,2000,divorcé,3.0,0.73,2024-01-27,580.0,389.3,40000.0
Munoz,Shannon,56,178.1,70.6,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,2714,divorcé,,0.11,2020-01-29,818.0,,
Turner,Daisy,49,177.3,54.1,H,non,doctorat,Hauts-de-France,oui,oui,1367,célibataire,4.0,0.04,2025-05-25,489.0,,
Fischer,Dominique,75,181.6,63.0,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,2066,veuf,2.0,0.54,2020-03-12,366.0,10000.0,40000.0
Johnson,William,40,179.8,92.7,F,oui,bac,Corse,oui,non,3455,célibataire,,0.92,2022-02-16,,5000.0,
Evans,Jose,55,160.1,89.9,F,non,doctorat,Île-de-France,oui,non,3164,,0.0,0.56,2020-12-05,553.0,5000.0,40000.0
Russell,Kimberly,33,161.2,56.4,H,non,master,Corse,oui,oui,1294,,,0.6,2022-03-27,,5000.0,
Bailey,Kathleen,71,153.8,77.0,H,non,bac+2,Occitanie,oui,non,2008,divorcé,2.0,0.03,2023-11-02,,,
Miller,Cody,61,163.5,47.0,F,oui,master,Bretagne,oui,non,2353,divorcé,,0.56,2024-02-21,819.0,,
Gregory,John,65,151.5,30.9,F,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,1385,divorcé,,0.09,2024-12-31,,,
Phillips,William,72,160.4,98.7,H,oui,bac+2,Occitanie,oui,oui,1540,divorcé,4.0,0.09,2024-08-16,,5000.0,
Fields,Ariel,44,163.6,72.1,H,oui,master,Corse,oui,non,3217,veuf,1.0,0.26,2020-10-26,,5000.0,
Griffin,Pamela,69,163.1,64.3,H,non,master,Provence-Alpes-Côte d’Azur,non,non,2481,veuf,5.0,0.17,2024-09-05,,10000.0,
Rose,Melissa,27,153.6,77.7,F,non,aucun,Hauts-de-France,non,non,2285,veuf,,0.84,2020-08-14,,,
Jones,Richard,22,171.0,68.0,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,500,divorcé,,0.15,2025-01-27,,921.66,
Guerrero,Charles,70,158.7,79.6,H,non,aucun,Corse,non,non,2122,célibataire,,0.12,2024-07-11,809.0,,
Bryant,Kevin,29,176.7,73.4,H,non,master,Normandie,non,oui,1309,,0.0,0.76,2022-11-15,,693.18,
Hall,Cynthia,67,184.7,103.2,H,non,master,Île-de-France,non,non,1147,célibataire,,0.8,2024-04-27,,727.46,
Wong,Jesse,50,171.8,87.6,H,oui,bac+2,Corse,non,oui,1252,marié,5.0,0.6,2023-06-03,,728.08,
Stone,Jennifer,25,156.6,62.7,H,non,bac,Occitanie,oui,oui,3623,,,0.69,2025-04-26,525.0,,
Paul,Kim,57,164.6,88.5,F,non,bac,Bretagne,oui,oui,3841,,1.0,0.09,2023-09-23,644.0,5000.0,40000.0
Novak,Haley,34,168.4,67.4,H,oui,master,Bretagne,oui,oui,3589,veuf,4.0,0.79,2020-08-18,747.0,,
Martinez,Kyle,43,170.6,70.2,H,non,bac,Occitanie,non,oui,2637,veuf,0.0,0.61,2022-02-10,,5000.0,
Mack,Hailey,58,188.5,76.3,H,oui,master,Île-de-France,oui,oui,3140,divorcé,0.0,0.2,2021-12-09,,10000.0,
Ward,John,69,171.1,72.0,H,non,aucun,Corse,non,oui,6298,divorcé,1.0,0.02,2022-06-22,,10000.0,
Mclean,Wayne,41,154.0,93.8,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3160,veuf,,0.23,2022-10-26,,,
Adams,Andrea,32,176.3,81.0,H,oui,master,Île-de-France,oui,oui,2552,marié,,0.96,2020-12-17,558.0,1035.56,40000.0
Zimmerman,Jimmy,35,178.6,68.6,H,non,master,Normandie,oui,non,3063,,,0.39,2022-02-20,,10000.0,
Lee,Carol,28,187.6,61.7,H,non,doctorat,Hauts-de-France,non,oui,2693,marié,2.0,0.23,2024-08-15,332.0,10000.0,40000.0
Black,Richard,73,157.4,74.6,F,oui,master,Hauts-de-France,non,oui,3335,célibataire,,0.78,2023-05-10,800.0,,
Patrick,Katie,53,180.3,71.9,F,non,bac,Bretagne,non,non,3257,,,0.59,2020-09-08,,5000.0,
Fernandez,Joshua,73,163.6,57.9,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2820,,3.0,0.38,2020-05-09,557.0,438.07,40000.0
Lynch,Patricia,42,171.8,53.5,F,oui,master,Hauts-de-France,non,non,904,,,0.16,2023-04-15,718.0,10000.0,40000.0
Cannon,James,25,183.1,64.8,F,oui,bac+2,Auvergne-Rhône-Alpes,non,non,2995,,,0.89,2021-12-11,,1119.47,
Reid,Ashley,29,173.8,64.5,H,oui,aucun,Corse,non,oui,1747,veuf,5.0,0.62,2024-07-29,,13.53,
Dudley,Heidi,21,176.7,51.6,F,oui,bac,Bretagne,non,oui,1309,marié,,0.95,2025-03-02,,889.11,
Nguyen,Phyllis,42,183.2,42.9,F,non,bac,Île-de-France,non,oui,1026,veuf,,0.29,2023-02-14,,,
Dennis,Billy,66,173.2,65.8,F,oui,aucun,Occitanie,oui,oui,3231,veuf,,0.51,2023-10-21,,,
Crosby,Franklin,39,172.0,84.9,F,oui,bac+2,Île-de-France,oui,oui,2220,célibataire,1.0,0.47,2022-06-14,815.0,5000.0,40000.0
Fleming,Rachael,50,177.9,58.4,H,non,aucun,Occitanie,oui,oui,3415,marié,5.0,0.73,2023-01-25,,5000.0,
Guzman,Curtis,38,164.3,59.2,H,non,master,Occitanie,non,oui,1980,marié,,0.85,2021-12-09,,10000.0,
Rollins,Christopher,71,162.6,81.5,F,oui,doctorat,Bretagne,oui,non,2151,,,0.12,2023-11-02,450.0,703.15,40000.0
Mitchell,Frank,23,176.9,65.1,F,non,bac,Corse,non,non,2100,divorcé,5.0,0.12,2022-04-23,,,
Williams,Charlene,61,163.8,62.2,F,oui,bac,Bretagne,oui,non,665,marié,,0.18,2021-06-15,841.0,10000.0,40000.0
Garcia,Edward,66,168.7,72.0,H,non,bac,Auvergne-Rhône-Alpes,non,non,1327,veuf,,0.37,2020-12-22,,5000.0,
Trujillo,Connie,47,180.1,67.4,F,non,doctorat,Corse,non,oui,1831,veuf,1.0,0.21,2024-07-29,,5000.0,
Coleman,Jennifer,65,177.8,91.7,F,non,bac+2,Île-de-France,non,non,4190,célibataire,,0.3,2021-04-08,393.0,,
Lewis,Karen,72,167.0,55.7,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,1686,divorcé,5.0,0.71,2020-06-30,740.0,10000.0,40000.0
Jones,Jennifer,39,153.3,72.1,F,oui,master,Normandie,oui,non,2981,veuf,,0.58,2020-06-20,,10000.0,
Nunez,Randall,32,164.9,103.3,F,oui,bac,Provence-Alpes-Côte d’Azur,non,non,1896,,,0.57,2020-11-10,,,
Pollard,Hunter,59,152.7,44.6,H,non,aucun,Normandie,oui,non,3038,célibataire,,0.14,2024-08-29,588.0,10000.0,40000.0
Lyons,Daniel,55,177.5,53.6,F,oui,master,Corse,oui,oui,500,divorcé,,0.63,2020-01-11,607.0,,
Villegas,Ashley,45,160.0,77.8,F,non,aucun,Occitanie,oui,non,795,célibataire,2.0,0.29,2021-01-22,819.0,,
Hutchinson,Jessica,70,164.4,63.7,H,non,bac+2,Bretagne,non,oui,2835,célibataire,0.0,0.53,2023-12-14,663.0,5000.0,40000.0
Webster,Tina,19,177.5,74.0,H,non,bac+2,Bretagne,non,non,3193,veuf,2.0,0.67,2020-07-14,836.0,807.65,40000.0
Osborne,Philip,35,162.7,59.6,F,non,doctorat,Occitanie,oui,oui,829,veuf,0.0,0.3,2023-12-27,459.0,5000.0,40000.0
Ritter,Michael,68,163.0,66.6,H,non,bac,Occitanie,non,oui,3588,veuf,3.0,0.72,2024-12-05,459.0,10000.0,40000.0
Olson,Christopher,67,177.2,24.3,H,oui,master,Corse,oui,oui,1959,marié,4.0,0.49,2024-11-04,565.0,10000.0,40000.0
Farmer,Harold,30,172.0,82.8,F,oui,aucun,Corse,oui,oui,2395,veuf,,0.66,2022-09-15,,,
Blair,Jason,39,151.7,59.4,F,non,master,Île-de-France,oui,non,3696,divorcé,3.0,0.69,2024-10-25,305.0,10000.0,40000.0
Martinez,Jessica,21,175.3,70.6,H,non,bac+2,Île-de-France,non,oui,3808,veuf,1.0,0.92,2020-10-14,805.0,,
Perez,Dawn,53,165.3,77.5,H,oui,master,Corse,non,oui,5055,veuf,2.0,0.65,2020-08-10,,5000.0,
Brown,Kimberly,57,162.7,81.3,F,non,doctorat,Occitanie,non,non,3628,veuf,,0.76,2022-04-11,720.0,952.2,40000.0
Hamilton,Tara,36,182.4,58.2,F,non,bac+2,Occitanie,oui,oui,2423,marié,,0.72,2025-02-28,735.0,,
Woods,Natasha,33,170.4,53.1,H,non,bac,Bretagne,non,oui,500,veuf,,0.31,2025-04-13,825.0,5000.0,40000.0
Ramirez,Scott,29,161.2,75.9,F,non,bac,Normandie,non,non,1369,célibataire,4.0,0.87,2021-09-06,431.0,10000.0,40000.0
Gomez,Brittany,21,176.0,93.2,F,oui,bac+2,Corse,oui,oui,3355,célibataire,,0.87,2024-08-06,416.0,5000.0,40000.0
Allen,Amy,26,158.3,50.1,F,oui,doctorat,Occitanie,oui,oui,2414,célibataire,2.0,0.86,2021-07-16,453.0,5000.0,40000.0
Smith,Justin,63,163.5,59.3,H,oui,master,Corse,oui,oui,1528,veuf,,0.75,2020-04-27,,793.44,
Mosley,Jamie,53,168.3,40.7,H,non,bac,Hauts-de-France,oui,non,1810,célibataire,,0.68,2024-05-28,,,
Gomez,Kathy,25,152.9,63.0,F,non,bac+2,Bretagne,non,oui,1937,,,0.81,2020-01-04,,838.68,
Chang,Karen,57,164.0,54.4,H,oui,aucun,Corse,non,non,2010,divorcé,1.0,0.24,2024-04-24,,5000.0,
Austin,Kyle,18,186.0,63.0,F,oui,bac,Occitanie,non,non,4982,,,0.24,2020-03-25,355.0,920.86,40000.0
Sharp,Dawn,72,173.6,72.8,F,non,master,Auvergne-Rhône-Alpes,non,non,3640,célibataire,,0.69,2020-05-15,751.0,5000.0,40000.0
Stewart,Sheila,69,172.2,57.9,H,oui,bac,Normandie,non,oui,3523,veuf,1.0,0.03,2021-04-18,,5000.0,
Wilcox,Rebecca,23,142.5,65.0,F,non,bac,Île-de-France,non,non,1413,veuf,0.0,0.48,2021-10-10,,5000.0,
Garrett,Carl,28,173.7,62.7,H,oui,master,Corse,oui,oui,2594,veuf,1.0,0.59,2025-01-13,602.0,,
Reeves,Kaitlyn,26,165.3,74.7,F,oui,master,Île-de-France,oui,non,3058,veuf,,0.77,2024-04-23,780.0,,
Carr,Kevin,64,161.2,86.9,H,non,bac,Bretagne,non,non,1945,,0.0,0.52,2022-10-24,,10000.0,
Newman,Michael,30,171.7,65.5,F,oui,master,Occitanie,oui,oui,4500,divorcé,,0.65,2024-01-31,,512.66,
Galvan,Diane,68,155.3,82.2,H,non,doctorat,Bretagne,non,non,818,veuf,0.0,0.3,2022-12-17,452.0,5000.0,40000.0
Allen,Jonathan,49,185.7,48.5,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,500,,1.0,0.83,2020-10-15,330.0,5000.0,40000.0
Watkins,Nicole,36,173.2,63.3,F,non,bac+2,Hauts-de-France,non,oui,3099,veuf,1.0,0.31,2022-03-21,,5000.0,
Martin,Curtis,70,175.3,62.5,F,oui,doctorat,Bretagne,non,non,4376,marié,0.0,0.64,2023-07-28,,-74.21,
Smith,Cynthia,61,159.5,60.4,H,oui,aucun,Auvergne-Rhône-Alpes,oui,non,1905,célibataire,1.0,0.5,2023-05-08,371.0,10000.0,40000.0
Holt,Emily,31,169.5,71.4,H,oui,aucun,Corse,non,non,923,célibataire,,0.89,2020-05-19,,10000.0,
Baird,Gary,60,164.0,74.3,F,oui,bac+2,Hauts-de-France,non,oui,500,divorcé,,0.17,2021-04-20,506.0,10000.0,40000.0
